id,tanggal (WIB),waktu (WIB),lintang,bujur,tingkat kepercayaan,satelit,radius kemungkinan,kecamatan,kabupaten,provinsi,tipe
3798572,8/1/2023,0:38:58,-6.5527873,108.170517,8,snpp,1125,Cikedung,Indramayu,Jawa Barat,Cluster
3798573,8/1/2023,0:38:58,-6.5485611,108.0944443,8,snpp,1125,Terisi,Indramayu,Jawa Barat,Cluster
3798591,8/1/2023,0:38:58,-6.98042107,108.6065826,8,snpp,1125,Ciawi Gerbang,Kuningan,Jawa Barat,Cluster
3798599,8/1/2023,0:38:58,-7.12224483,106.4901276,8,snpp,1125,Ciemas,Sukabumi,Jawa Barat,Cluster
3798680,8/1/2023,1:31:36,-6.5495677,108.0947037,8,noaa20,1125,Terisi,Indramayu,Jawa Barat,Cluster
3798682,8/1/2023,1:31:36,-6.70533657,108.400383,8,noaa20,1125,Gempol,Cirebon,Jawa Barat,Cluster
3798695,8/1/2023,10:02:00,-6.955938816,107.8008499,7,terra,3000,Cimanggung,Sumedang,Jawa Barat,Cluster
3798696,8/1/2023,10:02:00,-7.052603722,107.7525635,8,terra,3000,Majalaya,Bandung,Jawa Barat,Cluster
3798979,8/1/2023,12:27:22,-7.0851326,107.8462715,8,noaa20,1280,Leles,Garut,Jawa Barat,Cluster
3798980,8/1/2023,12:27:22,-6.949029682,108.7582855,8,noaa20,1500,Pasaleman,Cirebon,Jawa Barat,Cluster
3798982,8/1/2023,12:27:22,-6.6028142,108.0408402,8,noaa20,1125,Terisi,Indramayu,Jawa Barat,Cluster
3799623,8/1/2023,13:20:01,-7.36478615,106.7210083,8,snpp,1125,Tegalbuleud,Sukabumi,Jawa Barat,Cluster
3799625,8/1/2023,13:20:01,-7.23487759,106.4478798,8,snpp,1280,Cilacap,Sukabumi,Jawa Barat,Cluster
3799626,8/1/2023,13:20:01,-7.08793211,107.3594055,8,snpp,1125,Gununghalu,Bandung Barat,Jawa Barat,Cluster
3799627,8/1/2023,13:20:01,-7.178361655,106.5690575,8,snpp,1280,Ciemas,Sukabumi,Jawa Barat,Cluster
3799629,8/1/2023,13:20:01,-7.02362776,107.3639145,8,snpp,1125,Gununghalu,Bandung Barat,Jawa Barat,Cluster
3799630,8/1/2023,13:20:01,-6.79777479,108.6460953,7,snpp,1125,Pangenan,Cirebon,Jawa Barat,Cluster
3799631,8/1/2023,13:20:01,-6.90091085,107.8720627,8,snpp,1125,Pamulihan,Sumedang,Jawa Barat,Cluster
3799632,8/1/2023,13:20:01,-7.06975579,106.6145783,8,snpp,1280,Simpenan,Sukabumi,Jawa Barat,Cluster
3799633,8/1/2023,13:20:01,-6.99882793,107.083992,8,snpp,1125,Campaka,Cianjur,Jawa Barat,Cluster
3799634,8/1/2023,13:20:01,-7.06877899,106.5998993,8,snpp,1125,Simpenan,Sukabumi,Jawa Barat,Cluster
3799635,8/1/2023,13:20:01,-7.05967999,106.6376267,8,snpp,1125,Lengkong,Sukabumi,Jawa Barat,Cluster
3799636,8/1/2023,13:20:01,-7.0567379,106.6122971,8,snpp,1125,Simpenan,Sukabumi,Jawa Barat,Cluster
